Country,Year,Attack_Type,Target_Industry,Financial_Loss_Million,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_Time_Hours,Resolution_Speed,Severity_Level,Attack_Impact_Score,Cyber_Risk_Score,Damage_Category,User_Impact_Category,Year_Group,Defense_Effectiveness
China,2019,Phishing,Education,80.53,773169,"Hacker Group","Unpatched Software",VPN,63,Slow,Critical,55.18,47.90,"Extreme Loss",High,2018-2020,"Needs Improvement"
China,2019,Ransomware,Retail,62.19,295961,"Hacker Group","Unpatched Software",Firewall,71,Slow,High,46.18,40.26,"Major Loss",Medium,2018-2020,"Needs Improvement"
India,2017,Man-in-the-Middle,IT,38.65,605895,"Hacker Group","Weak Passwords",VPN,20,Moderate,Medium,25.14,21.88,"Moderate Loss",High,2015-2017,"Highly Effective"
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,"Social Engineering","AI-based Detection",7,Fast,Medium,24.10,20.61,"Moderate Loss",High,2021-2024,"Highly Effective"
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,"Social Engineering",VPN,68,Slow,High,53.24,46.61,"Major Loss",Massive,2018-2020,"Needs Improvement"
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,"Social Engineering",Antivirus,25,Moderate,Critical,54.98,45.44,"Extreme Loss",Medium,2015-2017,"Moderately Effective"
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,"Unpatched Software",VPN,34,Moderate,Medium,24.72,21.83,"Moderate Loss",Medium,2015-2017,"Moderately Effective"
France,2018,"SQL Injection",Government,59.23,909991,Unknown,"Social Engineering",Antivirus,66,Slow,High,45.54,40.53,"Major Loss",Massive,2018-2020,"Needs Improvement"
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,"Social Engineering",VPN,47,Slow,Low,19.93,18.94,"Minor Loss",High,2015-2017,"Moderately Effective"
UK,2023,DDoS,Healthcare,69.14,685927,"Hacker Group","Unpatched Software",Firewall,58,Slow,High,48.23,42.00,"Major Loss",High,2021-2024,"Needs Improvement"
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,Moderate,Critical,51.62,43.24,"Extreme Loss",Medium,2018-2020,"Moderately Effective"
China,2016,"SQL Injection",Healthcare,38.81,920768,"Hacker Group","Unpatched Software","AI-based Detection",27,Moderate,Medium,27.57,24.61,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,Slow,Medium,24.43,21.96,"Moderate Loss",High,2018-2020,"Moderately Effective"
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,"Unpatched Software","AI-based Detection",35,Moderate,High,37.98,32.75,"Major Loss",High,2021-2024,"Moderately Effective"
France,2024,DDoS,IT,48.01,922258,Unknown,"Social Engineering",Encryption,64,Slow,Medium,39.57,35.69,"Moderate Loss",Massive,2021-2024,"Needs Improvement"
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,Moderate,High,39.72,33.41,"Major Loss",Low,2021-2024,"Moderately Effective"
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,"Hacker Group","Unpatched Software","AI-based Detection",67,Slow,Low,22.47,22.02,"Minor Loss",Massive,2015-2017,"Needs Improvement"
India,2015,DDoS,IT,93.14,805278,Insider,"Social Engineering",Encryption,56,Slow,Critical,60.19,51.68,"Extreme Loss",Massive,2015-2017,"Needs Improvement"
UK,2019,Malware,Telecommunications,14.01,578443,Insider,"Social Engineering",Firewall,28,Moderate,Low,14.34,13.52,"Minor Loss",High,2018-2020,"Moderately Effective"
India,2016,DDoS,IT,36.45,261808,Nation-state,"Social Engineering","AI-based Detection",6,Fast,Medium,20.21,16.83,"Moderate Loss",Medium,2015-2017,"Highly Effective"
Brazil,2015,Ransomware,Retail,49.55,920172,"Hacker Group","Weak Passwords",Antivirus,43,Slow,Medium,36.14,32.10,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
France,2023,Ransomware,Education,17.72,261661,Insider,"Social Engineering",VPN,11,Fast,Low,11.84,10.33,"Minor Loss",Medium,2021-2024,"Highly Effective"
India,2017,DDoS,Government,76.71,246205,Nation-state,"Unpatched Software",Firewall,30,Moderate,Critical,45.09,37.67,"Major Loss",Medium,2015-2017,"Moderately Effective"
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,"Weak Passwords",Antivirus,32,Moderate,Low,17.17,15.31,"Minor Loss",Low,2021-2024,"Moderately Effective"
Brazil,2023,DDoS,Telecommunications,51.84,699007,"Hacker Group","Social Engineering",VPN,30,Moderate,High,34.02,29.53,"Major Loss",High,2021-2024,"Moderately Effective"
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,"AI-based Detection",52,Slow,High,37.82,33.34,"Major Loss",High,2021-2024,"Needs Improvement"
Japan,2022,Malware,Education,53.04,570494,Nation-state,"Unpatched Software",VPN,53,Slow,High,38.83,34.10,"Major Loss",High,2021-2024,"Needs Improvement"
Japan,2022,Ransomware,Banking,26.17,937653,Insider,"Unpatched Software",Encryption,24,Moderate,Medium,20.70,19.02,"Moderate Loss",Massive,2021-2024,"Highly Effective"
France,2020,Malware,IT,87.32,599757,Unknown,"Social Engineering",Antivirus,9,Fast,Critical,47.26,39.13,"Extreme Loss",High,2018-2020,"Highly Effective"
Australia,2015,DDoS,Government,82.70,904805,"Hacker Group",Zero-day,Encryption,61,Slow,Critical,56.26,48.90,"Extreme Loss",Massive,2015-2017,"Needs Improvement"
UK,2022,"SQL Injection",Education,66.24,678876,"Hacker Group","Social Engineering","AI-based Detection",11,Fast,High,37.36,31.41,"Major Loss",High,2021-2024,"Highly Effective"
France,2020,Malware,Telecommunications,18.38,246900,"Hacker Group",Zero-day,"AI-based Detection",34,Moderate,Low,16.73,15.14,"Minor Loss",Medium,2018-2020,"Moderately Effective"
India,2015,"SQL Injection",IT,42.99,85255,Unknown,"Unpatched Software",Encryption,61,Slow,Medium,33.95,29.74,"Moderate Loss",Low,2015-2017,"Needs Improvement"
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,Moderate,Critical,56.35,47.48,"Extreme Loss",Massive,2021-2024,"Highly Effective"
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,"Weak Passwords",VPN,27,Moderate,Low,13.00,11.66,"Minor Loss",Low,2021-2024,"Moderately Effective"
Brazil,2020,Phishing,Banking,17.75,739540,"Hacker Group",Zero-day,Encryption,31,Moderate,Low,17.29,16.26,"Minor Loss",High,2018-2020,"Moderately Effective"
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,Slow,Low,26.07,24.82,"Minor Loss",High,2018-2020,"Needs Improvement"
Japan,2021,"SQL Injection",Retail,82.52,214372,Insider,"Unpatched Software",Encryption,12,Fast,Critical,44.30,36.27,"Extreme Loss",Medium,2021-2024,"Highly Effective"
USA,2022,DDoS,Retail,32.53,235314,Insider,"Weak Passwords","AI-based Detection",62,Slow,Medium,29.37,26.35,"Moderate Loss",Medium,2021-2024,"Needs Improvement"
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,"Unpatched Software",VPN,71,Slow,Critical,63.11,53.56,"Extreme Loss",Low,2015-2017,"Needs Improvement"
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,"AI-based Detection",3,Fast,Critical,49.51,40.11,"Extreme Loss",Medium,2015-2017,"Highly Effective"
India,2021,"SQL Injection",IT,98.09,826976,Nation-state,Zero-day,VPN,57,Slow,Critical,62.93,53.94,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,"Unpatched Software",Encryption,69,Slow,Medium,35.96,32.74,"Moderate Loss",High,2018-2020,"Needs Improvement"
USA,2017,DDoS,IT,74.12,403108,"Hacker Group",Zero-day,VPN,64,Slow,High,51.07,44.06,"Major Loss",Medium,2015-2017,"Needs Improvement"
